vehicle_id,service_date,repair_type,repair_cost
V00001,2026-02-20,Oil Change,101.57
V00001,2026-02-08,Battery Replacement,270.41
V00002,2026-01-01,Brake Repair,415.17
V00002,2026-03-13,Oil Change,131.46
V00002,2026-02-24,Oil Change,105.18
V00002,2026-04-19,Transmission Repair,1896.1
V00003,2026-02-17,Brake Repair,478.48
V00003,2026-01-20,Oil Change,96.69
V00003,2026-02-08,Oil Change,122.3
V00004,2026-04-22,Brake Repair,548.91
V00005,2026-04-18,Transmission Repair,2158.08
V00005,2026-02-14,Engine Inspection,583.48
V00005,2026-02-26,Battery Replacement,309.6
V00005,2026-04-30,Engine Inspection,577.85
V00005,2026-03-17,Battery Replacement,280.94
V00006,2026-01-19,Engine Inspection,649.16
V00006,2026-01-30,Oil Change,138.16
V00007,2026-02-05,Oil Change,153.79
V00007,2026-03-10,Engine Inspection,488.39
V00007,2026-01-01,Brake Repair,383.1
V00007,2026-01-30,Oil Change,126.63
V00007,2026-03-10,Brake Repair,550.28
V00008,2026-02-12,Battery Replacement,394.03
V00008,2026-04-23,Brake Repair,406.13
V00008,2026-04-28,Transmission Repair,1508.71
V00008,2026-04-14,Oil Change,134.5
V00009,2026-01-07,Oil Change,98.31
V00009,2026-01-16,Engine Inspection,625.38
V00009,2026-03-03,Brake Repair,477.56
V00009,2026-02-16,Cooling System,896.36
V00011,2026-04-21,Battery Replacement,300.89
V00011,2026-03-12,Engine Inspection,599.21
V00011,2026-02-05,Oil Change,165.67
V00011,2026-01-12,Engine Inspection,791.63
V00011,2026-04-30,Brake Repair,552.37
V00011,2026-03-14,Brake Repair,494.18
V00012,2026-02-12,Transmission Repair,1911.08
V00012,2026-04-01,Battery Replacement,334.89
V00013,2026-04-19,Battery Replacement,395.01
V00013,2026-03-02,Engine Inspection,833.53
V00013,2026-01-28,Oil Change,163.76
V00013,2026-03-08,Brake Repair,469.73
V00013,2026-02-16,Brake Repair,403.17
V00013,2026-02-24,Oil Change,123.18
V00013,2026-04-16,Oil Change,142.49
V00014,2026-02-28,Oil Change,129.92
V00014,2026-01-26,Brake Repair,413.39
V00015,2026-01-03,Engine Inspection,804.92
V00015,2026-01-16,Oil Change,154.64
V00015,2026-01-14,Oil Change,110.91
V00015,2026-03-05,Oil Change,166.58
V00016,2026-03-25,Brake Repair,421.13
V00017,2026-04-24,Oil Change,102.0
V00017,2026-04-07,Transmission Repair,2038.75
V00017,2026-04-11,Oil Change,166.84
V00018,2026-02-13,Transmission Repair,1878.77
V00019,2026-02-28,Oil Change,115.86
V00019,2026-02-24,Brake Repair,538.23
V00019,2026-02-26,Transmission Repair,2170.83
V00019,2026-01-08,Battery Replacement,394.17
V00019,2026-04-17,Oil Change,127.16
V00019,2026-04-28,Battery Replacement,260.76
V00020,2026-02-22,Oil Change,150.96
V00020,2026-03-21,Oil Change,138.48
V00020,2026-03-28,Cooling System,807.14
V00021,2026-01-20,Brake Repair,622.23
V00022,2026-03-31,Oil Change,140.47
V00022,2026-01-13,Cooling System,567.91
V00022,2026-02-22,Oil Change,139.13
V00022,2026-02-18,Oil Change,122.94
V00022,2026-02-04,Engine Inspection,607.77
V00023,2026-03-30,Brake Repair,497.5
V00023,2026-02-18,Brake Repair,527.02
V00023,2026-02-22,Cooling System,797.64
V00024,2026-02-23,Engine Inspection,651.41
V00024,2026-01-27,Brake Repair,549.96
V00024,2026-04-22,Oil Change,132.5
V00024,2026-03-08,Engine Inspection,726.05
V00024,2026-02-06,Engine Inspection,751.14
V00024,2026-01-23,Engine Inspection,688.91
