ticket_id,vehicle_id,ticket_date,complaint_text,priority
T000001,V00001,2026-04-24,Oil pressure warning triggered,High
T000002,V00005,2026-01-17,No major issue reported,Medium
T000003,V00007,2026-01-05,Reduced acceleration reported,Low
T000004,V00007,2026-01-31,Oil pressure warning triggered,High
T000005,V00007,2026-04-22,No major issue reported,Medium
T000006,V00008,2026-03-14,Vehicle idle time unusually high,Low
T000007,V00008,2026-01-27,Vehicle overheating during route,High
T000008,V00008,2026-03-11,No major issue reported,Low
T000009,V00009,2026-04-12,No major issue reported,Medium
T000010,V00010,2026-04-18,Vehicle overheating during route,High
T000011,V00011,2026-03-08,Vehicle idle time unusually high,Medium
T000012,V00011,2026-02-27,Reduced acceleration reported,Medium
T000013,V00011,2026-02-21,Transmission feels delayed,High
T000014,V00012,2026-03-28,Oil pressure warning triggered,High
T000015,V00013,2026-03-06,No major issue reported,Low
T000016,V00013,2026-02-11,Oil pressure warning triggered,High
T000017,V00013,2026-01-26,No major issue reported,Low
T000018,V00015,2026-04-03,Oil pressure warning triggered,High
T000019,V00015,2026-02-03,No major issue reported,Low
T000020,V00015,2026-01-01,Check engine light is on,Low
T000021,V00015,2026-01-10,Transmission feels delayed,High
T000022,V00015,2026-03-30,Transmission feels delayed,High
T000023,V00016,2026-02-21,Vehicle overheating during route,High
T000024,V00016,2026-02-15,Vehicle overheating during route,High
T000025,V00016,2026-01-24,Brake noise reported by driver,Low
T000026,V00017,2026-01-31,Vehicle idle time unusually high,Low
T000027,V00019,2026-01-13,Check engine light is on,Low
T000028,V00019,2026-02-12,Brake noise reported by driver,Medium
T000029,V00020,2026-04-20,Reduced acceleration reported,Low
T000030,V00021,2026-02-20,Battery warning light keeps appearing,Medium
T000031,V00023,2026-02-26,Brake noise reported by driver,Medium
T000032,V00023,2026-04-15,Battery warning light keeps appearing,Medium
T000033,V00028,2026-02-25,Check engine light is on,Medium
T000034,V00029,2026-04-28,Oil pressure warning triggered,High
T000035,V00031,2026-02-21,No major issue reported,Medium
T000036,V00031,2026-02-04,No major issue reported,Medium
T000037,V00031,2026-02-07,No major issue reported,Low
T000038,V00032,2026-01-20,Reduced acceleration reported,Medium
T000039,V00032,2026-01-16,Brake noise reported by driver,Medium
T000040,V00032,2026-01-23,Check engine light is on,Low
T000041,V00033,2026-04-29,Reduced acceleration reported,Low
T000042,V00033,2026-02-16,Reduced acceleration reported,Low
T000043,V00033,2026-02-27,Brake noise reported by driver,Low
T000044,V00033,2026-02-26,Battery warning light keeps appearing,Medium
T000045,V00033,2026-03-17,Transmission feels delayed,High
T000046,V00034,2026-01-16,Vehicle idle time unusually high,Medium
T000047,V00035,2026-02-19,Oil pressure warning triggered,High
T000048,V00037,2026-02-20,Battery warning light keeps appearing,Low
T000049,V00037,2026-03-12,Brake noise reported by driver,Low
T000050,V00037,2026-02-25,Battery warning light keeps appearing,Medium
T000051,V00039,2026-02-10,Vehicle idle time unusually high,Medium
T000052,V00040,2026-01-28,Vehicle overheating during route,High
T000053,V00043,2026-01-24,Reduced acceleration reported,Low
T000054,V00045,2026-01-16,Battery warning light keeps appearing,Medium
T000055,V00045,2026-04-18,Oil pressure warning triggered,High
T000056,V00046,2026-03-25,Vehicle overheating during route,High
T000057,V00046,2026-02-15,No major issue reported,Medium
T000058,V00046,2026-03-09,Check engine light is on,Medium
T000059,V00048,2026-04-17,Check engine light is on,Low
T000060,V00049,2026-02-03,Vehicle idle time unusually high,Low
T000061,V00049,2026-04-08,Vehicle overheating during route,High
T000062,V00049,2026-03-23,Battery warning light keeps appearing,Low
T000063,V00050,2026-03-09,Vehicle overheating during route,High
T000064,V00050,2026-02-25,Brake noise reported by driver,Medium
T000065,V00052,2026-04-30,Vehicle idle time unusually high,Medium
T000066,V00052,2026-04-01,Battery warning light keeps appearing,Medium
T000067,V00052,2026-04-07,Reduced acceleration reported,Medium
T000068,V00053,2026-02-22,Vehicle idle time unusually high,Medium
T000069,V00053,2026-04-04,No major issue reported,Medium
T000070,V00054,2026-03-11,Vehicle idle time unusually high,Medium
T000071,V00055,2026-02-14,Check engine light is on,Medium
T000072,V00056,2026-02-06,Check engine light is on,Medium
T000073,V00059,2026-02-17,Vehicle idle time unusually high,Low
T000074,V00059,2026-01-11,Vehicle idle time unusually high,Medium
T000075,V00059,2026-01-23,Oil pressure warning triggered,High
T000076,V00059,2026-01-12,No major issue reported,Low
T000077,V00059,2026-01-08,Check engine light is on,Low
T000078,V00060,2026-03-28,Reduced acceleration reported,Medium
T000079,V00060,2026-01-21,Check engine light is on,Low
T000080,V00060,2026-02-05,Transmission feels delayed,High
T000081,V00062,2026-04-17,Brake noise reported by driver,Low
T000082,V00062,2026-03-29,Vehicle idle time unusually high,Low
T000083,V00063,2026-03-19,Reduced acceleration reported,Low
T000084,V00063,2026-03-11,Battery warning light keeps appearing,Low
T000085,V00064,2026-01-18,Reduced acceleration reported,Low
T000086,V00064,2026-01-28,Battery warning light keeps appearing,Low
T000087,V00065,2026-01-11,Battery warning light keeps appearing,Medium
T000088,V00065,2026-01-18,Vehicle idle time unusually high,Low
T000089,V00065,2026-03-25,Vehicle idle time unusually high,Low
T000090,V00068,2026-01-20,Reduced acceleration reported,Medium
T000091,V00068,2026-03-02,Oil pressure warning triggered,High
T000092,V00068,2026-03-29,Battery warning light keeps appearing,Medium
T000093,V00068,2026-01-30,Brake noise reported by driver,Medium
T000094,V00068,2026-02-14,Vehicle overheating during route,High
T000095,V00068,2026-04-04,Battery warning light keeps appearing,Low
T000096,V00070,2026-04-29,Brake noise reported by driver,Low
T000097,V00070,2026-03-12,No major issue reported,Low
T000098,V00070,2026-01-29,Battery warning light keeps appearing,Low
T000099,V00071,2026-02-16,Battery warning light keeps appearing,Low
T000100,V00071,2026-03-18,Check engine light is on,Medium
T000101,V00072,2026-01-27,Check engine light is on,Medium
T000102,V00072,2026-01-31,Battery warning light keeps appearing,Low
T000103,V00074,2026-01-30,Battery warning light keeps appearing,Medium
T000104,V00075,2026-02-25,Oil pressure warning triggered,High
T000105,V00076,2026-01-17,Transmission feels delayed,High
